SQUAREID,LINESET,NR_UBICAZIONI
155,DG1031221,4
272,DG1031221,72
273,DG1031221,21
276,DG1003117,34
277,DG1003117,3
389,DG1031221,65
390,DG1031221,8
393,DG1003117,25
506,DG1031221,12
507,DG1031221,27
624,DG1031221,5
625,DG1031221,6
626,DG1003117,2
635,DG1003117,7
737,DG1031220,9
738,DG1031220,1
740,DG1031221,7
741,DG1031221,355
742,DG1031221,32
743,DG1003117,10
743,DG1031221,74
752,DG1003117,5
854,DG1031220,20
857,DG1031221,8
858,DG1031221,80
859,DG1031221,414
860,DG1003117,2
860,DG1031221,174
861,DG1003117,22
861,DG1031221,3
862,DG1003117,5
867,DG1003117,4
868,DG1003117,92
869,DG1003117,17
973,DG1031221,1
974,DG1031221,2
976,DG1031221,3
977,DG1031221,5
978,DG1003117,4
978,DG1031221,2
979,DG1003117,9
980,DG1003117,47
982,DG1003117,2
983,DG1003117,23
984,DG1003117,1
1087,DG1031220,3
1088,DG1031220,4
1089,DG1031220,13
1091,DG1031220,1
1092,DG1031220,1
1096,DG1003117,13
1097,DG1003117,767
1098,DG1003117,133
1099,DG1003117,6
1106,DG1003315,17
1108,DG1003315,26
1109,DG1003315,1
1110,DG1003315,1
1206,DG1031220,3
1207,DG1031220,3
1209,DG1031220,2
1214,DG1003101,3
1214,DG1003117,217
1215,DG1003101,7
1215,DG1003103,8
1215,DG1003117,52
1223,DG1003315,206
1224,DG1003315,35
1225,DG1003315,35
1226,DG1003315,4
1227,DG1003315,6
1323,DG1031220,9
1324,DG1031220,8
1325,DG1031220,2
1326,DG1031220,3
1327,DG1031220,1
1331,DG1003117,53
1332,DG1003117,1
1332,DG1003119,49
1339,DG1003315,14
1340,DG1003315,26
1341,DG1003315,67
1342,DG1003315,4
1440,DG1031220,27
1441,DG1012421,11
1441,DG1031220,56
1442,DG1012421,9
1442,DG1031220,1
1443,DG1031220,150
1444,DG1031220,45
1446,DG1031220,2
1447,DG1031220,1
1448,DG1003117,2
1449,DG1003117,4
1449,DG1003119,24
1450,DG1003119,33
1451,DG1003119,2
1456,DG1003315,48
1457,DG1003315,122
1458,DG1003315,3
1558,DG1012421,42
1559,DG1012421,14
1560,DG1031220,5
1561,DG1031220,9
1562,DG1031220,7
1563,DG1031220,96
